system,record_id,timestamp,name,email,phone,zip_code,source,campaign,service
crm,CRM0006478,2025-02-11T20:54:00.000000,Reginald Foster,,210 370 3770,78213,Organic Search,Organic Search,Drywall Repair
crm,CRM0006854,2025-02-13T03:31:00.000000,Donna Glover,donnaglover@example.com,+1 (210) 201-0729,78230,,Organic Search,Drywall Repair
crm,CRM0011513,2025-02-13T18:39:00.000000,Sean Willis,seanwillis@example.org,(726) 987-2222,78229,Organic Search,Organic Search,Interior Painting
crm,CRM0012323,2025-02-13T20:42:00.000000,Candace Murphy,candace.murphy@example.net,210 810 6929,78216,,Realtor Network,Cabinet Painting
crm,CRM0005895,2025-02-14T17:47:00.000000,Alicia Hoover,alicia.hoover@example.org,2106259392,78217,,Organic Search,Drywall Repair
crm,CRM0003051,2025-02-19T09:13:00.000000,Abigail Bird,abigailbird@example.org,210-657-1028,78201,Direct,Direct,Cabinet Painting
crm,CRM0004221,2025-02-19T12:40:00.000000,Edward Huynh,edward.huynh10@example.com,+1 210 774 2159,78240,Organic Search,Organic Search,Cabinet Painting
crm,CRM0011098,2025-02-20T14:34:00.000000,Melanie Young,melanieyoung@example.net,210-399-9987,78230,Organic Search,Organic Search,Minor Remodeling
crm,CRM0007204,2025-02-25T13:23:00.000000,Thomas Carroll,tcarroll@example.net,2102221676,78228,,Customer Referral,Drywall Repair
crm,CRM0007188,2025-02-27T11:41:00.000000,Michael Stephenson,mstephenson@example.com,+1 726 267 0973,78232,Direct,Direct,Drywall Repair
crm,CRM0001630,2025-02-27T15:31:00.000000,Michael Rodriguez,Mrodriguez@example.com,+1 210 419 8563,78216,Organic Search,Organic Search,Drywall Repair
crm,CRM0001629,2025-02-27T15:31:00.000000,Michael Rodriguez,mrodriguez@example.com,+1 210 419 8563,78216,Organic Search,Organic Search,Drywall Repair
crm,CRM0010822,2025-02-27T17:49:00.000000,Janet Smith,janet.smith@example.org,+1 (210) 414-9328,78228,Direct,Direct,Minor Remodeling
crm,CRM0002125,2025-03-03T16:29:00.000000,Kayla Clark,kaylaclark@example.net,+1 (726) 295-4027,78232,Direct,Direct,Interior Painting
crm,CRM0010141,2025-03-04T06:03:00.000000,Donald Sanders,donald.sanders@example.com,2104907164,78217,Google Ads,Search | Interior Painting,Interior Painting
crm,CRM0006757,2025-03-05T20:22:00.000000,Allen Valentine,alllen.valentine@example.net,(210) 554-7815,78240,Direct,Direct,Minor Remodeling
crm,CRM0005947,2025-03-06T12:30:00.000000,Robert Fowler,robert.fowler@example.org,+1 (210) 502-1524,78230,Google Ads,Search | Interior Painting,Interior Painting
crm,CRM0006924,2025-03-06T16:18:00.000000,Shannon Stone,sstone@example.net,726 571 5145,78230,Organic Search,Organic Search,Cabinet Painting
crm,CRM0000061,2025-03-07T10:15:00.000000,Garrett Garcia,garrettgarcia@example.org,210 318 3205,78216,Organic Search,Organic Search,Interior Painting
crm,CRM0012284,2025-03-08T13:42:00.000000,Sheri Rodriguez,sherirodriguez@example.com,(210) 346-9383,78228,Facebook Ads,Meta | Free Estimate,Interior Painting
crm,CRM0005963,2025-03-08T20:40:00.000000,Stephen Wells,swells@example.net,726-801-5196,78229,Organic Search,Organic Search,Exterior Painting
crm,CRM0008449,2025-03-10T07:55:00.000000,Kimberly Lara,kimberly.lara42@example.org,7269815482,78201,Organic Search,Organic Search,Minor Remodeling
crm,CRM0009867,2025-03-10T15:14:00.000000,Jocelyn Waters,jocelyn.waters@example.com,(210) 522-7757,78201,Organic Search,Organic Search,Drywall Repair
crm,CRM0008479,2025-03-11T20:09:00.000000,Todd Vargas,toddvargas@example.com,+1 726 349 4816,78201,Organic Search,Organic Search,Interior Painting
crm,CRM0008160,2025-03-12T04:18:00.000000,Elizabeth Knight,eknight@example.org,7264195080,78240,,Realtor Network,Cabinet Painting
crm,CRM0008213,2025-03-13T06:07:00.000000,John Bean,johnbean@example.com,+1 726 456 4689,78228,Direct,Direct,Exterior Painting
crm,CRM0011285,2025-03-13T09:40:00.000000,Robert Phelps,robert.phelps8113@example.net,(210) 801-0543,78228,Facebook Ads,Meta | Home Refresh,Exterior Painting
crm,CRM0003714,2025-03-16T04:13:00.000000,Stephanie Mcmillan,stephanie.mcmillan49@example.com,726 996 8605,78229,,Customer Referral,Cabinet Painting
crm,CRM0002789,2025-03-17T02:54:00.000000,David Freeman,david.freeman24@example.net,726 436 6526,78217,Google Ads,Search | Interior Painting,Interior Painting
crm,CRM0007705,2025-03-18T22:30:00.000000,Lisa Ryan,lisa.ryan@example.org,2106153296,78229,Google Ads,Search | Exterior Painting,Exterior Painting
crm,CRM0002392,2025-03-19T09:01:00.000000,Dale Hanson,dale.hanson@example.org,+1 210 870 0089,78229,Google Ads,Search | Interior Painting,Interior Painting
crm,CRM0007259,2025-03-21T05:00:00.000000,Eric Olson,eolson@example.com,+1 726 722 3304,78216,Organic Search,Organic Search,Drywall Repair
crm,CRM0008338,2025-03-21T06:40:00.000000,Karla Simmons,ksimmons@example.org,2105369490,78216,Direct,Direct,Exterior Painting
crm,CRM0008100,2025-03-21T16:31:00.000000,Jesse Dean,jessedean@example.net,7267442575,78229,Organic Search,Organic Search,Cabinet Painting
crm,CRM0005890,2025-03-22T20:17:00.000000,Shelia Ross,shelia.ross65@example.org,(726) 949-9604,78240,,Customer Referral,Drywall Repair
crm,CRM0012438,2025-03-26T18:49:00.000000,Dustin Wilson,dustin.wilson54@example.com,(726) 286-3302,78240,Facebook Ads,Meta | Free Estimate,Exterior Painting
crm,CRM0006034,2025-03-27T00:26:00.000000,Shawn Cook,scook@example.org,726-739-3114,78230,Organic Search,Organic Search,Exterior Painting
crm,CRM0005828,2025-03-28T19:11:00.000000,JAMES MITCHELL,james.mitchell@example.com,+1 726 654 4600,78216,Direct,Direct,Drywall Repair
crm,CRM0005827,2025-03-28T19:11:00.000000,James Mitchell,james.mitchell@example.com,+1 726 654 4600,78216,Direct,Direct,Drywall Repair
crm,CRM0007659,2025-03-29T16:14:00.000000,Alicia Robinson,alicia.robinson@example.net,(726) 522-3117,78230,Google Ads,Search | Cabinet Painting,Cabinet Painting
crm,CRM0001069,2025-03-29T18:46:00.000000,Melissa Sheppard,melissa.sheppard@example.org,(210) 320-2673,78232,Direct,Direct,Cabinet Painting
crm,CRM0004308,2025-03-30T16:10:00.000000,Doris Wilson,doris.wilson26@example.com,+1 (726) 289-0638,78209,Direct,Direct,Cabinet Painting
crm,CRM0003148,2025-03-31T09:36:00.000000,Joe Lee,joelee@example.org,+1 210 893 2250,78216,Google Ads,Search | Drywall Repair,Drywall Repair
crm,CRM0001103,2025-03-31T13:39:00.000000,Tammy Burton,tammyb.urton28@example.net,+1 (726) 508-426,75230,Facebook Ads,Meta | Home Refresh,Interior Painting
crm,CRM0006073,2025-03-31T14:27:00.000000,Elizabeth Shepherd,eshepherd@example.net,726-517-1554,78213,Facebook Ads,Meta | Seasonal Promo,Interior Painting
crm,CRM0005453,2025-04-01T03:21:00.000000,Maria Williams,mwilliams@example.net,+1 210 556 0494,78216,Direct,Direct,Exterior Painting
crm,CRM0006575,2025-04-01T12:17:00.000000,Melanie Thomas,melaniethomas@example.org,726 968 2892,78229,,Search | Minor Remodeling,Minor Remodeling
crm,CRM0004239,2025-04-04T04:20:00.000000,Ricky Bradley,ricky.bradley@example.com,+1 (210) 881-7500,78229,,Realtor Network,Minor Remodeling
crm,CRM0010657,2025-04-05T07:37:00.000000,Daniel Johnson,daniel.johnson31@example.net,7266990725,78213,Direct,Direct,Interior Painting
crm,CRM0010564,2025-04-06T02:19:00.000000,Jon Marshall,,+1 726 688 8706,78232,,Local Contractor,Cabinet Painting
crm,CRM0001797,2025-04-06T18:07:00.000000,Donna Young,dyoung@example.org,726-302-7305,78213,Direct,Direct,Cabinet Painting
crm,CRM0005172,2025-04-07T12:55:00.000000,Julie Lane,julie.lane@example.org,726-803-2597,78240,Google Ads,Search | Drywall Repair,Drywall Repair
crm,CRM0007018,2025-04-07T23:08:00.000000,James Brewer,james.brewer4@example.com,+1 (210) 497-9310,78217,,Customer Referral,Interior Painting
crm,CRM0006367,2025-04-09T04:17:00.000000,Kristen Baker,kristen.baker69@example.com,(726) 946-7576,78216,Direct,Direct,Cabinet Painting
crm,CRM0000299,2025-04-09T05:15:00.000000,Stephanie Rich,srich@example.org,+1 726 219 6506,78201,Direct,Direct,Cabinet Painting
crm,CRM0000300,2025-04-09T05:15:00.000000,Stephanie Rich,srich@example.org,+1 (726) 219-6506,78201,Direct,Direct,Cabinet Painting
crm,CRM0010185,2025-04-10T00:14:00.000000,Ashley Johnson,ashleyjohnson@example.com,+1 210 220 2164,78213,Organic Search,Organic Search,Interior Painting
crm,CRM0006380,2025-04-10T07:17:00.000000,Todd Blake,tblake@example.org,2109719942,78201,Direct,Direct,Minor Remodeling
crm,CRM0006381,2025-04-10T07:17:00.000000,Todd Blake,tblake@example.org,2109719942,78201,Direct,Direct,Minor Remodeling
crm,CRM0008080,2025-04-10T10:20:00.000000,Matthew Trujillo,matthew.trujillo@example.com,2104296960,78240,Direct,Direct,Exterior Painting
crm,CRM0000990,2025-04-10T10:29:00.000000,William Berry,william.berry66@example.net,2109084962,78217,Organic Search,Organic Search,Minor Remodeling
crm,CRM0010208,2025-04-10T20:47:00.000000,Anthony Ramos,anthony.ramos81@example.org,2107371088,78209,,Customer Referral,Drywall Repair
crm,CRM0011117,2025-04-11T11:09:00.000000,James Reed,jreed@example.com,+1 (210) 882-7218,78232,Direct,Direct,Drywall Repair
crm,CRM0002677,2025-04-11T15:06:00.000000,Janice Cox,jcox@example.net,+1 726 206 3979,78201,,Local Contractor,Drywall Repair
crm,CRM0002676,2025-04-11T15:06:00.000000,Janice Cox,jcox@example.net,726-206-3979,78201,,Local Contractor,Drywall Repair
crm,CRM0005582,2025-04-12T16:24:00.000000,Timothy Davis,tiomthy.davis58@example.org,+1 1726) 676-9228,7201,Direct,Direct,Drywall Repair
crm,CRM0009013,2025-04-12T19:30:00.000000,Nancy Duke,nancyduke@example.net,+1 210 259 6495,78217,,Customer Referral,Exterior Painting
crm,CRM0008184,2025-04-14T03:33:00.000000,William Daniels,wdaniels@example.org,7268626869,78232,Direct,Direct,Interior Painting
crm,CRM0001492,2025-04-14T10:03:00.000000,Matthew Mathews,mmathews@example.net,,78240,,Customer Referral,Interior Painting
crm,CRM0001493,2025-04-14T10:03:00.000000,Matthew Mathews,Mmathews@example.net,,78240,,Customer Referral,Interior Painting
crm,CRM0004538,2025-04-15T04:12:00.000000,James White,jameswhite@example.net,+1 (726) 684-0674,78217,Direct,Direct,Minor Remodeling
crm,CRM0000458,2025-04-15T13:13:00.000000,Jesus Parker,jesusparker@example.net,+1 (726) 560-8027,78209,Organic Search,Organic Search,Drywall Repair
crm,CRM0009994,2025-04-15T14:45:00.000000,Yolanda Robinson,yolandarobinson@example.com,(726) 322-4204,78216,Direct,Direct,Minor Remodeling
crm,CRM0002311,2025-04-17T11:26:00.000000,Natasha Boyd,nboyd@example.org,+1 (726) 917-0972,78216,Facebook Ads,Meta | Home Refresh,Interior Painting
crm,CRM0004269,2025-04-17T13:38:00.000000,Kevin Williams,kevin.williams@example.org,+1 726 494 3995,78217,Direct,Direct,Exterior Painting
crm,CRM0010953,2025-04-17T14:01:00.000000,Shelby Rivera,shelby.rivera@example.org,2105364021,78217,Organic Search,Organic Search,Exterior Painting
crm,CRM0006559,2025-04-17T14:22:00.000000,Megan Christensen,meganchristensen@example.net,+1 726 651 2757,78201,Facebook Ads,Meta | Home Refresh,Minor Remodeling
crm,CRM0004373,2025-04-19T16:40:00.000000,Taylor Guzman,taylor.guzman@example.org,+1 (210) 594-0686,78209,Direct,Direct,Drywall Repair
crm,CRM0000399,2025-04-21T15:42:00.000000,Mark Mitchell,mmitchell@example.net,7266595199,78209,Direct,Direct,Exterior Painting
crm,CRM0006791,2025-04-21T21:45:00.000000,Alexander Robinson,alexanderrobinson@example.com,+1 (726) 865-4538,78201,Organic Search,Organic Search,Interior Painting
crm,CRM0008600,2025-04-22T17:28:00.000000,Emily Harris,eharris@example.net,726-495-7121,78230,,Customer Referral,Drywall Repair
crm,CRM0008587,2025-04-22T23:49:00.000000,William Robertson,wrobertson@example.org,210 490 5993,78209,Organic Search,Organic Search,Interior Painting
crm,CRM0011489,2025-04-24T15:23:00.000000,Michael Costa,michaelcosta@example.com,+1 (726) 619-1520,78217,Organic Search,Organic Search,Exterior Painting
crm,CRM0008144,2025-04-24T16:58:00.000000,Amanda Crawford,,210 335 2676,78240,Google Ads,Search | Interior Painting,Interior Painting
crm,CRM0001229,2025-04-25T23:22:00.000000,Mark Weaver,mark.weaver18@example.net,(210) 703-6336,78228,Organic Search,Organic Search,Interior Painting
crm,CRM0008103,2025-04-26T11:34:00.000000,Joseph Ali,joseph.ali65@example.org,+1 210 354 7183,78209,Direct,Direct,Interior Painting
crm,CRM0000506,2025-04-26T20:20:00.000000,Joseph Hernandez,jhernandez@example.org,2106426785,78201,Direct,Direct,Exterior Painting
crm,CRM0010058,2025-04-29T06:00:00.000000,Stephanie Rose,stephanie.rose@example.org,2106288835,78213,Direct,Direct,Exterior Painting
crm,CRM0001159,2025-04-29T16:22:00.000000,Renee Green,rneee.green@example.com,7262666819,7821,Google Ads,Search | Minor Remodeling,Minor Remodeling
crm,CRM0000529,2025-04-29T17:56:00.000000,Jeremy Thomas,jeremythomas@example.org,7269459213,78216,Organic Search,Organic Search,Interior Painting
crm,CRM0006640,2025-04-30T13:06:00.000000,Hannah Williams,hwilliams@example.net,7266212312,78201,Direct,Direct,Cabinet Painting
crm,CRM0006639,2025-04-30T13:06:00.000000,Hannah Williams,hwilliams@example.net,7266212312,78201,Direct,Direct,Cabinet Painting
crm,CRM0010654,2025-04-30T21:25:00.000000,Deborah Jackson,deborahjackson@example.com,(726) 730-2768,78209,Direct,Direct,Cabinet Painting
crm,CRM0004298,2025-05-01T18:06:00.000000,Alexis Stewart,alexis.stewart8@example.com,+1 726 557 6363,78201,Facebook Ads,Meta | Seasonal Promo,Exterior Painting
crm,CRM0000100,2025-05-03T13:01:00.000000,Ellen Benitez,ellen.benitez37@example.net,(210) 866-6116,78232,Facebook Ads,Meta | Home Refresh,Interior Painting
crm,CRM0000099,2025-05-03T13:01:00.000000,Ellen Benitez,ellen.benitez37@example.net,210 866 6116,78232,Facebook Ads,Meta | Home Refresh,Interior Painting
crm,CRM0001791,2025-05-04T13:28:00.000000,William Dunn,william.dunn@example.net,7264069128,78209,Direct,Direct,Minor Remodeling
crm,CRM0000126,2025-05-06T10:50:00.000000,Sarah Roberts,sarah.roberts@example.net,7269735005,78217,Google Ads,Search | Interior Painting,Interior Painting
crm,CRM0003069,2025-05-06T13:28:00.000000,Aaron Farmer,aaron.farmer@example.org,2109565664,78201,Direct,Direct,Drywall Repair
crm,CRM0006260,2025-05-06T20:27:00.000000,Matthew Thompson,matthew.thompson@example.net,+1 (210) 578-3156,78217,Direct,Direct,Minor Remodeling
crm,CRM0002757,2025-05-08T01:29:00.000000,Nathaniel Horton,nathanielhorton@example.com,+1 (210) 382-4878,78201,,Customer Referral,Minor Remodeling
crm,CRM0002782,2025-05-08T02:45:00.000000,Paula Johnson,pjohnson@example.org,7269116855,78232,Direct,Direct,Interior Painting
crm,CRM0002783,2025-05-08T02:45:00.000000,Paula Johnson,Pjohnson@example.org,7269116855,78232,Direct,Direct,Interior Painting
crm,CRM0004809,2025-05-08T11:14:00.000000,Judy Jones,judy.jones@example.com,+1 (726) 253-1508,78217,Organic Search,Organic Search,Exterior Painting
crm,CRM0001105,2025-05-08T14:15:00.000000,Michael Gentry,mgentry@example.com,210-588-6384,78228,Google Ads,Search | Interior Painting,Interior Painting
crm,CRM0001048,2025-05-09T13:02:00.000000,Stephanie Williams,stephaniewilliams@example.com,,78229,,Local Contractor,Interior Painting
crm,CRM0007593,2025-05-09T14:18:00.000000,Clayton Cooper,claytoncooper@example.net,+1 (726) 734-8972,78216,Organic Search,Organic Search,Exterior Painting
crm,CRM0011081,2025-05-09T17:16:00.000000,Donald Richard,donald.richard@example.net,+1 210 507 4833,78213,Direct,Direct,Cabinet Painting
crm,CRM0005992,2025-05-11T21:04:00.000000,Kim Davis,kim.davis82@example.org,(210) 695-0549,78213,Direct,Direct,Cabinet Painting
crm,CRM0012103,2025-05-12T02:28:00.000000,Jose Duncan,jose.duncan21@example.org,210-410-5584,78201,,Customer Referral,Interior Painting
crm,CRM0004099,2025-05-13T12:04:00.000000,Bryan Kramer,bryan.kramer@example.net,7267022158,78217,Direct,Direct,Drywall Repair
crm,CRM0004602,2025-05-13T14:30:00.000000,Jonathan Leon,jleon@example.com,2106193763,78229,Direct,Direct,Drywall Repair
crm,CRM0009770,2025-05-13T15:56:00.000000,Rebecca Jones,rebecca.jones7009@example.net,210 671 5936,78228,Facebook Ads,Meta | Home Refresh,Drywall Repair
crm,CRM0006532,2025-05-15T11:52:00.000000,Jacqueline Robbins,jacquelinerobbins@example.org,+1 (210) 788-8443,78240,Direct,Direct,Interior Painting
crm,CRM0001037,2025-05-16T20:46:00.000000,Larry Wells,larry.wells6@example.net,(210) 410-1228,78229,Direct,Direct,Interior Painting
crm,CRM0008503,2025-05-16T22:55:00.000000,Lauren Hudson,lauren.hudson54@example.com,7264882585,78240,,Customer Referral,Cabinet Painting
crm,CRM0009574,2025-05-19T08:12:00.000000,Michael Christian,michael.christian45@example.org,+1 (726) 361-8326,78216,Direct,Direct,Interior Painting
crm,CRM0009818,2025-05-19T16:31:00.000000,Crystal Black,crystal.black54@example.net,2104213946,78217,Direct,Direct,Exterior Painting
crm,CRM0010552,2025-05-19T19:31:00.000000,Mary Brown,mary.brown7574@example.net,7204793112,78232,Google Ads,Search | Drywall Repair,Drywall Repair
crm,CRM0009014,2025-05-20T13:45:00.000000,Nancy Duke,nancyduke@example.net,+1 210 259 6495,78217,Direct,Direct,Exterior Painting
crm,CRM0004228,2025-05-20T15:28:00.000000,Rebecca Phelps,rebecca.phelps@example.com,+1 726 704 8587,78232,Direct,Direct,Exterior Painting
crm,CRM0001370,2025-05-21T05:04:00.000000,Cassandra Taylor,cassandra.taylor@example.org,726 433 2728,78213,Organic Search,Organic Search,Drywall Repair
crm,CRM0003691,2025-05-21T15:07:00.000000,B. Jones,brendan.jjones10@example.net,2108735963,78216,Organic Search,Organic Search,Interior Painting
crm,CRM0011168,2025-05-21T17:32:00.000000,Shannon Lopez,slopez@example.net,210742852,78201,,Property Manager,Minor Remodeling
crm,CRM0010856,2025-05-22T12:20:00.000000,Paige Taylor,paige.taylor@example.net,210-949-5192,78228,Organic Search,Organic Search,Interior Painting
crm,CRM0011058,2025-05-22T21:57:00.000000,Thomas Mccormick,thomasmccormick@example.com,(726) 462-3010,78230,,Customer Referral,Exterior Painting
crm,CRM0004050,2025-05-23T08:11:00.000000,Tamara Love,tamara.love@example.net,+1 210 228 2185,78217,Organic Search,Organic Search,Drywall Repair
crm,CRM0006490,2025-05-23T16:38:00.000000,Brian Morris,brianmorris@example.net,7262938866,78216,Organic Search,Organic Search,Exterior Painting
crm,CRM0003851,2025-05-24T02:11:00.000000,Ryan Jones,ryan.jones48@example.org,210-949-7353,78209,Direct,Direct,Cabinet Painting
crm,CRM0011363,2025-05-24T07:17:00.000000,Cynthia Kelly,cynthiakelly@example.net,2109139645,78213,Direct,Direct,Exterior Painting
crm,CRM0002908,2025-05-26T09:52:00.000000,John Pierce,jpierce@example.net,+1 (726) 299-3866,78230,Direct,Direct,Interior Painting
crm,CRM0011104,2025-05-26T13:12:00.000000,Jonathan Sanders,jsanders@example.com,2106661785,78232,Direct,Direct,Cabinet Painting
crm,CRM0005151,2025-05-26T13:27:00.000000,Regina Nelson,rnelson@example.org,7265903871,78229,,Customer Referral,Interior Painting
crm,CRM0008611,2025-05-27T16:21:00.000000,Ryan Mccann,ryan.mccann39@example.org,726-944-2249,78216,,Local Contractor,Exterior Painting
crm,CRM0001034,2025-05-28T13:49:00.000000,Rachel Reed,rachel.reed34@example.org,2104279240,78229,Organic Search,Organic Search,Cabinet Painting
crm,CRM0010455,2025-05-30T18:00:00.000000,John Turner,john.turner80@example.net,+1 726 605 7642,78240,Google Ads,Search | Drywall Repair,Drywall Repair
crm,CRM0005124,2025-05-31T04:07:00.000000,Jorge Wood,jorgewood@example.com,+1 726 233 0241,78229,Direct,Direct,Exterior Painting
crm,CRM0006986,2025-06-01T08:07:00.000000,Caleb Bennett,caleb.bennett15@example.com,726-350-4574,78209,Organic Search,Organic Search,Drywall Repair
crm,CRM0007907,2025-06-02T18:42:00.000000,Sarah Hernandez,sarahhernandez@example.net,210-670-2887,78209,Direct,Direct,Exterior Painting
crm,CRM0003997,2025-06-06T00:57:00.000000,Michelle Rogers,michelle.rogers68@example.com,7262734981,78209,Direct,Direct,Exterior Painting
crm,CRM0001975,2025-06-06T01:52:00.000000,Lisa Becker,lisabecker@example.org,+1 726 325 9701,78216,Direct,Direct,Minor Remodeling
crm,CRM0006498,2025-06-06T12:35:00.000000,Nathan Smith,nsmith@example.com,210 863 4699,78229,Direct,Direct,Minor Remodeling
crm,CRM0006522,2025-06-08T16:20:00.000000,Melissa Kelly,mkelly@example.net,210 221 2805,78201,Direct,Direct,Cabinet Painting
crm,CRM0010504,2025-06-09T12:53:00.000000,David Mitchell,david.mitchell29@example.org,+1 (726) 291-5936,78209,Direct,Direct,Exterior Painting
crm,CRM0007478,2025-06-10T08:50:00.000000,Stacey Smith,stacey.smith5381@example.net,7264536407,78229,,Realtor Network,Minor Remodeling
crm,CRM0000956,2025-06-10T15:28:00.000000,Eric King,eking@example.com,7267018220,78209,,Organic Search,Interior Painting
crm,CRM0011086,2025-06-11T05:34:00.000000,Preston Warner,pwarner@example.com,210 773 8518,78240,Organic Search,Organic Search,Exterior Painting
crm,CRM0001097,2025-06-11T11:55:00.000000,Regina Cameron,regina.cameron@example.com,+1 726 544 1154,78230,,Customer Referral,Minor Remodeling
crm,CRM0001427,2025-06-11T18:58:00.000000,Donna Hays,Dhays@example.org,(210) 742-3862,78229,Organic Search,Organic Search,Interior Painting
crm,CRM0001426,2025-06-11T18:58:00.000000,Donna Hays,dhays@example.org,(210) 742-3862,78229,Organic Search,Organic Search,Interior Painting
crm,CRM0010322,2025-06-11T21:00:00.000000,Travis Ross,tross@example.net,2109949862,78240,Direct,Direct,Exterior Painting
crm,CRM0004810,2025-06-12T08:02:00.000000,Judy Jones,judy.jones@example.com,(726) 253-1508,78217,Facebook Ads,Meta | Home Refresh,Exterior Painting
crm,CRM0001511,2025-06-12T16:04:00.000000,Christopher Reyes,christopher.reyes@example.org,+1 210 503 8712,78216,Direct,Direct,Interior Painting
crm,CRM0010709,2025-06-13T01:31:00.000000,Tanya Morrison,tanya.morrison@example.org,7263921985,78216,Facebook Ads,Meta | Seasonal Promo,Exterior Painting
crm,CRM0008526,2025-06-13T15:08:00.000000,Mary Stewart,mary.stewart@example.org,2106675862,78240,Google Ads,Search | Cabinet Painting,Cabinet Painting
crm,CRM0006564,2025-06-13T17:25:00.000000,Antonio Avery,antonio.avery34@example.org,(726) 452-9075,78201,Organic Search,Organic Search,Exterior Painting
