marketing_record_id,captured_at,platform,source_label,campaign,name,email,phone,zip_code,service,form_name,landing_page
MKT0000013,2026-06-27T18:46:00.000000,Meta,meta_paid,Meta | Home Refresh,Jonathan Carlson,jonathancarlson@example.com,7268158767,78232,Interior Painting,Meta Lead Form,/painting-offer
MKT0000014,2026-04-20T19:07:00.000000,Meta,meta_paid,Meta | Home Refresh,Angela Lewis,alewis@example.net,+1 210 401 1357,78217,Cabinet Painting,Meta Lead Form,/painting-offer
MKT0000015,2026-02-05T17:19:00.000000,Google Ads,google_paid,Search | Exterior Painting,Matthew Pollard,matthew.pollard4@example.org,+1 210 765 9180,78232,Exterior Painting,Request an Estimate,/estimate
MKT0000016,2026-05-18T08:50:00.000000,Website Analytics,direct_website,Direct,Matthew Pollard,matthew.pollard4@example.org,2107659180,78232,Exterior Painting,Website Contact Form,/contact
MKT0000017,2026-05-18T08:53:00.000000,Website Analytics,direct_website,Direct,Matthew Pollard,matthew.pollard4@example.org,2107659180,78232,Exterior Painting,Website Contact Form,/contact
MKT0000018,2025-07-30T00:21:00.000000,Google Ads,google_paid,Search | Minor Remodeling,Travis Davis,,2109252024,78216,Minor Remodeling,Request an Estimate,/estimate
MKT0000019,2025-04-25T05:32:00.000000,Meta,meta_paid,Meta | Free Estimate,Tammy Fitzgerald,,7263169887,78229,Drywall Repair,Meta Lead Form,/painting-offer
MKT0000020,2026-05-29T18:24:00.000000,Website Analytics,direct_website,Direct,Jeffery Smith,,+1 210 829 7422,78230,Minor Remodeling,Website Contact Form,/contact
MKT0000021,2026-05-29T18:31:00.000000,Website Analytics,direct_website,Direct,Jeffery Smith,,+1 210 829 7422,78230,Minor Remodeling,Website Contact Form,/contact
MKT0000022,2026-02-10T16:02:00.000000,Website Analytics,organic_search,Organic Search,Joseph Bailey,joseph.bailey63@example.net,7264863141,78232,Exterior Painting,Website Estimate Form,/services
MKT0000023,2025-11-11T15:17:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Z. Wood,zachary.wood@example.com,(210) 735-0612,78209,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000024,2025-02-26T21:38:00.000000,Meta,meta_paid,Meta | Free Estimate,Michael Ortega,michael.ortega49@example.org,2103268470,78228,Cabinet Painting,Meta Lead Form,/painting-offer
MKT0000025,2025-10-07T15:19:00.000000,Google Ads,google_paid,Search | Exterior Painting,Wendy Wallace,wendy.wallace18@example.org,(726) 716-7947,78232,Exterior Painting,Request an Estimate,/estimate
MKT0000026,2026-06-06T11:27:00.000000,Meta,meta_paid,Meta | Home Refresh,Calvin Cain,calvin.cain@example.org,7266796297,78240,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000027,2025-03-20T07:54:00.000000,Google Ads,google_paid,Search | Drywall Repair,Andrew Garcia,agarcia@example.org,(210) 494-7902,78230,Drywall Repair,Request an Estimate,/estimate
MKT0000028,2025-11-21T09:50:00.000000,Website Analytics,organic_search,Organic Search,Victoria Welch,victoria.welch@example.org,2104375621,78216,Cabinet Painting,Website Estimate Form,/services
MKT0000029,2025-11-13T10:49:00.000000,Website Analytics,organic_search,Organic Search,JAMIE NEAL,jamie.neal93@example.com,7266932943,78216,Drywall Repair,Website Estimate Form,/services
MKT0000030,2026-03-28T20:44:00.000000,Google Ads,google_paid,Search | Cabinet Painting,M. Leblanc,manuel.leblanc@example.com,7265092674,78209,Cabinet Painting,Request an Estimate,/estimate
MKT0000031,2025-05-29T08:44:00.000000,Google Ads,google_paid,Search | Cabinet Painting,Christian Mitchell,christian.mitchell@example.net,2102130591,78230,Cabinet Painting,Request an Estimate,/estimate
MKT0000032,2025-08-06T18:46:00.000000,Website Analytics,organic_search,Organic Search,Christian Mitchell,christian.mitchell@example.net,2102130591,78230,Exterior Painting,Website Estimate Form,/services
MKT0000033,2025-06-12T08:04:00.000000,Meta,meta_paid,Meta | Free Estimate,Brittany Nelson,brittanynelson@example.net,7263889237,78232,Interior Painting,Meta Lead Form,/painting-offer
MKT0000034,2025-05-27T19:55:00.000000,Meta,meta_paid,Meta | Home Refresh,Michael Boone,mboone@example.org,2106020542,78230,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000035,2025-07-24T23:26:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Michael Boone,mboone@example.org,210-602-0542,78230,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000036,2025-04-24T15:50:00.000000,Google Ads,google_paid,Search | Exterior Painting,joseph simmons,joseph.simmons@example.com,7266147460,78216,Exterior Painting,Request an Estimate,/estimate
MKT0000037,2025-06-10T15:30:00.000000,Meta,meta_paid,Meta | Free Estimate,Alexis Richardson,alexisrichardson@example.net,726-608-3581,78240,Drywall Repair,Meta Lead Form,/painting-offer
MKT0000038,2025-08-19T18:54:00.000000,Google Ads,google_paid,Search | Drywall Repair,Barbara Martinez,barbara.martinez13@example.org,7264442702,78240,Drywall Repair,Request an Estimate,/estimate
MKT0000039,2026-05-14T12:08:00.000000,Google Ads,google_paid,Search | Cabinet Painting,michael guzman,michael.guzman68@example.com,7262023132,78216,Cabinet Painting,Request an Estimate,/estimate
MKT0000040,2025-08-20T10:47:00.000000,Google Ads,google_paid,Search | Drywall Repair,Johnny Coleman,johnny.coleman36@example.com,+1 726 200 6063,78213,Drywall Repair,Request an Estimate,/estimate
MKT0000041,2025-03-02T13:54:00.000000,Google Ads,google_paid,Search | Interior Painting,Tyrone Smith,tyrone.smith@example.net,7268443728,78216,Interior Painting,Request an Estimate,/estimate
MKT0000042,2025-09-26T13:17:00.000000,Meta,meta_paid,Meta | Seasonal Promo,James Moon,james.moon60@example.net,2108990213,78230,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000043,2026-04-29T12:30:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Pam Reyes,preyes@example.com,+1 726 370 8906,78216,Interior Painting,Meta Lead Form,/painting-offer
MKT0000044,2026-05-25T08:16:00.000000,Website Analytics,organic_search,Organic Search,Michelle Carney,mcarney@example.org,2107348115,78216,Exterior Painting,Website Estimate Form,/services
MKT0000045,2026-02-21T09:23:00.000000,Website Analytics,organic_search,Organic Search,Kenneth Mccarthy,kenneth.mccarthy@example.com,7266609066,78229,Minor Remodeling,Website Estimate Form,/services
MKT0000046,2025-06-16T18:20:00.000000,Meta,meta_paid,Meta | Home Refresh,Christina Christian,christina.christian31@example.com,210-529-7474,78216,Cabinet Painting,Meta Lead Form,/painting-offer
MKT0000047,2025-07-24T13:46:00.000000,Website Analytics,organic_search,Organic Search,Lauren Roth,lroth@example.com,2108590413,78201,Cabinet Painting,Website Estimate Form,/services
MKT0000048,2025-09-12T11:31:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Heidi Brown,hbrown@example.org,2106042945,78229,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000049,2025-11-04T04:26:00.000000,Website Analytics,direct_website,Direct,HEIDI BROWN,hbrown@example.org,2106042945,78229,Cabinet Painting,Website Contact Form,/contact
MKT0000050,2025-07-21T13:29:00.000000,Google Ads,google_paid,Search | Cabinet Painting,Kelly Young,kelly.young93@example.net,2104647857,78229,Cabinet Painting,Request an Estimate,/estimate
MKT0000051,2025-03-07T15:00:00.000000,Google Ads,google_paid,Search | Interior Painting,Sandra Little,sandra.little41@example.net,7263266293,78229,Interior Painting,Request an Estimate,/estimate
MKT0000052,2025-11-21T07:41:00.000000,Google Ads,google_paid,Search | Exterior Painting,Timothy Salazar,timothy.salazar@example.org,726-420-5027,78217,Exterior Painting,Request an Estimate,/estimate
MKT0000053,2025-03-04T10:13:00.000000,Website Analytics,organic_search,Organic Search,Christina Vang,christina.vang@example.net,210-210-4031,78216,Interior Painting,Website Estimate Form,/services
MKT0000054,2025-08-28T23:33:00.000000,Meta,meta_paid,Meta | Free Estimate,Ronald Mclaughlin,ronald.mclaughlin@example.org,726-424-6718,78240,Interior Painting,Meta Lead Form,/painting-offer
MKT0000055,2026-02-08T08:16:00.000000,Google Ads,google_paid,Search | Drywall Repair,Edward Thompson,edward.thompson@example.org,210-332-2393,78201,Drywall Repair,Request an Estimate,/estimate
MKT0000056,2025-10-17T10:12:00.000000,Meta,meta_paid,Meta | Free Estimate,Kristin Crawford,kristin.crawford70@example.com,2103245515,78216,Interior Painting,Meta Lead Form,/painting-offer
MKT0000057,2025-03-25T14:20:00.000000,Meta,meta_paid,Meta | Free Estimate,Jessica Vazquez,jessicavazquez@example.org,7268725578,78240,Interior Painting,Meta Lead Form,/painting-offer
MKT0000058,2025-08-30T03:19:00.000000,Website Analytics,direct_website,Direct,JESSICA VAZQUEZ,jessicavazquez@example.org,(726) 872-5578,78240,Interior Painting,Website Contact Form,/contact
MKT0000059,2025-08-30T03:28:00.000000,Website Analytics,direct_website,Direct,JESSICA VAZQUEZ,jessicavazquez@example.org,(726) 872-5578,78240,Interior Painting,Website Contact Form,/contact
MKT0000060,2025-07-15T06:50:00.000000,Meta,meta_paid,Meta | Free Estimate,Gerald Thomas,gerald.thomas@example.org,2109573018,78232,Interior Painting,Meta Lead Form,/painting-offer
MKT0000061,2025-06-28T23:27:00.000000,Website Analytics,direct_website,Direct,Ronald Martin,ronald.martin@example.com,(726) 778-1674,78232,Drywall Repair,Website Contact Form,/contact
MKT0000062,2026-01-24T07:35:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Samantha Cummings,samantha.cummings@example.net,210-726-3780,78228,Cabinet Painting,Meta Lead Form,/painting-offer
MKT0000063,2026-06-23T09:42:00.000000,Google Ads,google_paid,Search | Cabinet Painting,Samantha Cummings,samantha.cummings@example.net,2107263780,78228,Cabinet Painting,Request an Estimate,/estimate
MKT0000064,2026-05-13T07:49:00.000000,Website Analytics,organic_search,Organic Search,Thomas Miller,tmiller@example.net,+1 210 674 8727,78240,Exterior Painting,Website Estimate Form,/services
MKT0000065,2026-05-25T10:31:00.000000,Meta,meta_paid,Meta | Free Estimate,William Molina,williammolina@example.com,7264069593,78216,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000066,2025-01-21T19:15:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Roger Galvan,roger.galvan25@example.net,+1 210 735 2216,78229,Interior Painting,Meta Lead Form,/painting-offer
MKT0000067,2026-04-08T14:47:00.000000,Meta,meta_paid,Meta | Home Refresh,Ashley Brown,ashley.brown2@example.com,7267246540,78230,Drywall Repair,Meta Lead Form,/painting-offer
MKT0000068,2025-05-01T07:35:00.000000,Google Ads,google_paid,Search | Exterior Painting,Karen Woods,karen.woods@example.net,726-918-5799,78209,Exterior Painting,Request an Estimate,/estimate
MKT0000069,2025-11-08T14:09:00.000000,Google Ads,google_paid,Search | Exterior Painting,Karen Woods,karen.woods@example.net,7269185799,78209,Exterior Painting,Request an Estimate,/estimate
MKT0000070,2026-02-10T17:09:00.000000,Google Ads,google_paid,Search | Minor Remodeling,K. Woods,karen.woods@example.net,7269185799,78209,Minor Remodeling,Request an Estimate,/estimate
MKT0000071,2025-07-20T13:29:00.000000,Website Analytics,direct_website,Direct,ELLEN BENITEZ,ellen.benitez37@example.net,2108666116,78232,Minor Remodeling,Website Contact Form,/contact
MKT0000072,2026-03-31T17:48:00.000000,Google Ads,google_paid,Search | Drywall Repair,Matthew Diaz,matthewdiaz@example.org,726-456-2641,78201,Drywall Repair,Request an Estimate,/estimate
MKT0000073,2025-08-30T14:57:00.000000,Meta,meta_paid,Meta | Home Refresh,Matthew Wade,mwade@example.com,210-672-3259,78213,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000074,2026-02-03T10:03:00.000000,Google Ads,google_paid,Search | Cabinet Painting,Jeffrey Bowman,jbowman@example.net,2106461878,78216,Cabinet Painting,Request an Estimate,/estimate
MKT0000075,2025-06-30T19:52:00.000000,Website Analytics,organic_search,Organic Search,Joseph Stokes,josephstokes@example.org,(726) 710-9189,78229,Interior Painting,Website Estimate Form,/services
MKT0000076,2026-06-15T08:00:00.000000,Website Analytics,direct_website,Direct,James Larsen,jameslarsen@example.org,(726) 984-5581,78217,Drywall Repair,Website Contact Form,/contact
MKT0000077,2025-11-15T23:14:00.000000,Google Ads,google_paid,Search | Minor Remodeling,Richard Walker,richardwalker@example.com,7266067321,78229,Minor Remodeling,Request an Estimate,/estimate
MKT0000078,2026-06-02T20:16:00.000000,Google Ads,google_paid,Search | Interior Painting,STACY ROBERTS,sroberts@example.org,7267400820,78232,Interior Painting,Request an Estimate,/estimate
MKT0000079,2025-10-22T15:46:00.000000,Google Ads,google_paid,Search | Interior Painting,Anthony Gray,anthonygray@example.com,7265882565,78217,Interior Painting,Request an Estimate,/estimate
MKT0000080,2026-04-22T18:12:00.000000,Meta,meta_paid,Meta | Home Refresh,Daniel Ramos,daniel.ramos@example.com,2103483904,78229,Interior Painting,Meta Lead Form,/painting-offer
MKT0000081,2025-05-03T16:42:00.000000,Meta,meta_paid,Meta | Seasonal Promo,William Matthews,williammatthews@example.org,7264393831,78232,Cabinet Painting,Meta Lead Form,/painting-offer
MKT0000082,2025-09-23T16:35:00.000000,Google Ads,google_paid,Search | Exterior Painting,Christopher Whitney,christopher.whitney76@example.net,+1 726 425 1496,78232,Exterior Painting,Request an Estimate,/estimate
MKT0000083,2026-01-19T03:42:00.000000,Website Analytics,organic_search,Organic Search,Christopher Whitney,christopher.whitney76@example.net,7264251496,78232,Interior Painting,Website Estimate Form,/services
MKT0000084,2025-07-11T09:15:00.000000,Website Analytics,direct_website,Direct,Charles Proctor,cproctor@example.org,210-967-7262,78232,Minor Remodeling,Website Contact Form,/contact
MKT0000085,2025-11-06T19:39:00.000000,Google Ads,google_paid,Search | Interior Painting,Justin Stewart,justin.stewart79@example.com,7266805246,78232,Interior Painting,Request an Estimate,/estimate
MKT0000086,2025-05-19T07:13:00.000000,Google Ads,google_paid,Search | Drywall Repair,Karen Leonard,kleonard@example.net,7265202893,78229,Drywall Repair,Request an Estimate,/estimate
MKT0000087,2026-04-04T00:23:00.000000,Website Analytics,organic_search,Organic Search,Christopher Webb,christopher.webb59@example.net,726-952-7661,78213,Cabinet Painting,Website Estimate Form,/services
MKT0000088,2025-11-20T18:15:00.000000,Google Ads,google_paid,Search | Exterior Painting,James Walker,james.walker@example.net,7264470267,78213,Exterior Painting,Request an Estimate,/estimate
MKT0000089,2025-06-12T13:56:00.000000,Google Ads,google_paid,Search | Cabinet Painting,Amy Anderson,amyanderson@example.net,2103440568,78232,Cabinet Painting,Request an Estimate,/estimate
MKT0000090,2026-05-12T21:03:00.000000,Google Ads,google_paid,Search | Minor Remodeling,Jose Clark,jclark@example.org,7268039048,78240,Minor Remodeling,Request an Estimate,/estimate
MKT0000091,2025-09-17T14:18:00.000000,Meta,meta_paid,Meta | Home Refresh,Austin Morris,austin.morris72@example.net,2102585322,78230,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000092,2025-10-25T00:31:00.000000,Google Ads,google_paid,Search | Interior Painting,Brian Frey,bfrey@example.com,+1 726 546 3600,78232,Interior Painting,Request an Estimate,/estimate
MKT0000093,2025-10-03T13:53:00.000000,Website Analytics,direct_website,Direct,Kristin Adams,kristin.adams@example.org,7262246607,78216,Minor Remodeling,Website Contact Form,/contact
MKT0000094,2025-05-11T17:10:00.000000,Google Ads,google_paid,Search | Minor Remodeling,Shelby Ferguson,shelbyferguson@example.net,7268634702,78240,Minor Remodeling,Request an Estimate,/estimate
MKT0000095,2026-06-10T17:25:00.000000,Google Ads,google_paid,Search | Exterior Painting,Michael Moses,mmoses@example.com,2103485880,78228,Exterior Painting,Request an Estimate,/estimate
MKT0000096,2025-01-20T12:35:00.000000,Website Analytics,organic_search,Organic Search,Laura Young,laurayoung@example.org,+1 210 602 9474,78213,Interior Painting,Website Estimate Form,/services
MKT0000097,2025-01-12T11:15:00.000000,Google Ads,google_paid,Search | Drywall Repair,Erik Smith,eriksmith@example.org,210-446-8601,78213,Drywall Repair,Request an Estimate,/estimate
MKT0000098,2025-08-07T02:11:00.000000,Google Ads,google_paid,Search | Exterior Painting,Erik Smith,eriksmith@example.org,2104468601,78213,Exterior Painting,Request an Estimate,/estimate
MKT0000099,2025-12-29T03:19:00.000000,Website Analytics,direct_website,Direct,Erik Smith,eriksmith@example.org,(210) 446-8601,78213,Drywall Repair,Website Contact Form,/contact
MKT0000100,2025-10-11T14:59:00.000000,Meta,meta_paid,Meta | Free Estimate,Lisa Gordon,lisa.gordon@example.com,2105770621,78217,Interior Painting,Meta Lead Form,/painting-offer
MKT0000101,2026-01-03T17:15:00.000000,Google Ads,google_paid,Search | Exterior Painting,Emily Moody,emoody@example.net,726-885-1441,78232,Exterior Painting,Request an Estimate,/estimate
MKT0000102,2026-02-03T02:23:00.000000,Google Ads,google_paid,Search | Drywall Repair,Teresa Levine,tlevine@example.org,7263809929,78240,Drywall Repair,Request an Estimate,/estimate
MKT0000103,2026-04-21T08:22:00.000000,Google Ads,google_paid,Search | Cabinet Painting,Teresa Levine,tlevine@example.org,7263809929,78240,Cabinet Painting,Request an Estimate,/estimate
MKT0000104,2025-10-11T15:31:00.000000,Google Ads,google_paid,Search | Interior Painting,Whitney Nelson,whitney.nelson@example.org,(210) 590-2164,78213,Interior Painting,Request an Estimate,/estimate
MKT0000105,2025-08-02T07:56:00.000000,Meta,meta_paid,Meta | Home Refresh,Christopher Mueller,christophermueller@example.com,+1 726 482 8025,78213,Interior Painting,Meta Lead Form,/painting-offer
MKT0000106,2025-01-14T05:50:00.000000,Google Ads,google_paid,Search | Interior Painting,Susan Salazar,susansalazar@example.com,2105073302,78240,Interior Painting,Request an Estimate,/estimate
MKT0000107,2026-03-06T11:18:00.000000,Meta,meta_paid,Meta | Home Refresh,Stephen Black,stephen.black@example.com,2107945324,78228,Minor Remodeling,Meta Lead Form,/painting-offer
MKT0000108,2026-02-13T18:24:00.000000,Google Ads,google_paid,Search | Interior Painting,Olivia Garza,olivia.garza@example.org,210-588-3603,78213,Interior Painting,Request an Estimate,/estimate
MKT0000109,2025-01-17T17:27:00.000000,Website Analytics,organic_search,Organic Search,Chelsea Riley,chelsea.riley@example.com,726-824-5172,78216,Drywall Repair,Website Estimate Form,/services
MKT0000110,2025-06-05T19:15:00.000000,Website Analytics,organic_search,Organic Search,Chelsea Riley,chelsea.riley@example.com,7268245172,78216,Cabinet Painting,Website Estimate Form,/services
MKT0000111,2025-10-11T17:49:00.000000,Website Analytics,organic_search,Organic Search,Thomas Sherman,tsherman@example.net,7267763555,78232,Cabinet Painting,Website Estimate Form,/services
MKT0000112,2025-07-14T15:00:00.000000,Meta,meta_paid,Meta | Home Refresh,Roger Golden,rgolden@example.org,2105364154,78228,Cabinet Painting,Meta Lead Form,/painting-offer
MKT0000113,2025-12-22T13:33:00.000000,Website Analytics,direct_website,Direct,Glenda Clark,glenda.clark64@example.org,(726) 290-1375,78213,Exterior Painting,Website Contact Form,/contact
MKT0000114,2026-02-10T09:55:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Tyler Clements,tylerclements@example.net,7263807743,78228,Interior Painting,Meta Lead Form,/painting-offer
MKT0000115,2025-01-29T21:34:00.000000,Website Analytics,organic_search,Organic Search,Tommy Hardy,tommyhardy@example.com,2106493432,78216,Minor Remodeling,Website Estimate Form,/services
MKT0000116,2026-03-30T09:25:00.000000,Google Ads,google_paid,Search | Interior Painting,Karen Jordan,karenjordan@example.com,(210) 960-3204,78230,Interior Painting,Request an Estimate,/estimate
MKT0000117,2025-09-09T11:24:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Jennifer Baker,jbaker@example.org,2103660230,78217,Cabinet Painting,Meta Lead Form,/painting-offer
MKT0000118,2025-12-26T08:48:00.000000,Website Analytics,direct_website,Direct,Kevin Adams,kevin.adams48@example.net,7269540877,78240,Exterior Painting,Website Contact Form,/contact
MKT0000119,2025-05-05T09:04:00.000000,Google Ads,google_paid,Search | Interior Painting,Erin Knapp,eknapp@example.net,2105925505,78228,Interior Painting,Request an Estimate,/estimate
MKT0000120,2026-02-26T23:55:00.000000,Website Analytics,direct_website,Direct,Ronald Mcintosh,ronald.mcintosh85@example.org,7264346885,78216,Exterior Painting,Website Contact Form,/contact
MKT0000121,2026-03-25T11:02:00.000000,Google Ads,google_paid,Search | Drywall Repair,C. Santana,christopher.santana92@example.net,7266373129,78229,Drywall Repair,Request an Estimate,/estimate
MKT0000122,2025-12-24T20:30:00.000000,Google Ads,google_paid,Search | Drywall Repair,John Jones,johnjones@example.com,(726) 322-3040,78213,Drywall Repair,Request an Estimate,/estimate
MKT0000123,2025-04-28T14:10:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Scott Sandoval,scottsandoval@example.org,+1 210 592 0374,78213,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000124,2025-03-10T03:38:00.000000,Website Analytics,organic_search,Organic Search,Austin Webster,austinwebster@example.net,726-924-7753,78229,Exterior Painting,Website Estimate Form,/services
MKT0000125,2025-01-27T03:54:00.000000,Google Ads,google_paid,Search | Minor Remodeling,Leah Hoffman,leah.hoffman24@example.org,+1 726 805 4169,78216,Minor Remodeling,Request an Estimate,/estimate
MKT0000126,2025-11-21T11:40:00.000000,Meta,meta_paid,Meta | Free Estimate,Erin Ross,eross@example.org,2108562480,78229,Interior Painting,Meta Lead Form,/painting-offer
MKT0000127,2025-11-21T11:47:00.000000,Meta,meta_paid,Meta | Free Estimate,Erin Ross,eross@example.org,2108562480,78229,Interior Painting,Meta Lead Form,/painting-offer
MKT0000128,2026-03-15T10:09:00.000000,Meta,meta_paid,Meta | Free Estimate,Sherry Jones,sherryjones@example.org,2103344263,78217,Cabinet Painting,Meta Lead Form,/painting-offer
MKT0000129,2025-03-31T23:15:00.000000,Meta,meta_paid,Meta | Home Refresh,James Tucker,jtucker@example.com,7269387742,78201,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000130,2026-04-13T09:13:00.000000,Website Analytics,organic_search,Organic Search,Joseph Lewis,joseph.lewis@example.org,210-397-2482,78230,Cabinet Painting,Website Estimate Form,/services
MKT0000131,2026-03-03T19:47:00.000000,Website Analytics,organic_search,Organic Search,Brent Medina,brent.medina29@example.com,2108549546,78213,Exterior Painting,Website Estimate Form,/services
MKT0000132,2025-01-11T15:40:00.000000,Google Ads,google_paid,Search | Drywall Repair,Vanessa Lowe,vanessa.lowe18@example.com,7268822348,78232,Drywall Repair,Request an Estimate,/estimate
MKT0000133,2025-03-24T01:34:00.000000,Meta,meta_paid,Meta | Home Refresh,Barbara Peterson,barbara.peterson91@example.net,(726) 491-1768,78216,Interior Painting,Meta Lead Form,/painting-offer
MKT0000134,2025-06-02T03:13:00.000000,Website Analytics,direct_website,Direct,Barbara Peterson,barbara.peterson91@example.net,+1 726 491 1768,78216,Drywall Repair,Website Contact Form,/contact
MKT0000135,2025-05-11T14:15:00.000000,Meta,meta_paid,Meta | Seasonal Promo,Jeffrey Benson,jeffrey.benson@example.com,+1 726 300 9097,78230,Interior Painting,Meta Lead Form,/painting-offer
MKT0000136,2026-06-02T08:23:00.000000,Website Analytics,direct_website,Direct,Todd Smith,toddsmith@example.com,2108986771,78228,Interior Painting,Website Contact Form,/contact
MKT0000137,2026-03-10T02:22:00.000000,Google Ads,google_paid,Search | Minor Remodeling,Barbara Bell,bbell@example.net,(726) 521-7965,78230,Minor Remodeling,Request an Estimate,/estimate
MKT0000138,2025-05-17T01:18:00.000000,Website Analytics,organic_search,Organic Search,Joshua Henry,joshua.henry@example.net,+1 210 904 3933,78232,Drywall Repair,Website Estimate Form,/services
MKT0000139,2025-09-03T10:14:00.000000,Website Analytics,organic_search,Organic Search,Joshua Henry,joshua.henry@example.net,2109043933,78232,Drywall Repair,Website Estimate Form,/services
MKT0000140,2025-07-10T12:15:00.000000,Google Ads,google_paid,Search | Exterior Painting,Robin Moody,robin.moody@example.org,(726) 380-4294,78213,Exterior Painting,Request an Estimate,/estimate
MKT0000141,2025-08-24T20:19:00.000000,Google Ads,google_paid,Search | Minor Remodeling,Robin Moody,robin.moody@example.org,726-380-4294,78213,Minor Remodeling,Request an Estimate,/estimate
MKT0000142,2025-02-14T10:30:00.000000,Website Analytics,direct_website,Direct,Jessica Johnson,jjohnson@example.com,7269823743,78213,Minor Remodeling,Website Contact Form,/contact
MKT0000143,2025-01-15T05:00:00.000000,Website Analytics,organic_search,Organic Search,Karen Morgan,kmorgan@example.net,7269702421,78216,Minor Remodeling,Website Estimate Form,/services
MKT0000144,2025-03-31T08:17:00.000000,Meta,meta_paid,Meta | Home Refresh,Karen Morgan,kmorgan@example.net,726-970-2421,78216,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000145,2025-01-08T11:16:00.000000,Website Analytics,organic_search,Organic Search,Rebekah Swanson,rswanson@example.org,726-444-1480,78229,Cabinet Painting,Website Estimate Form,/services
MKT0000146,2026-03-03T13:42:00.000000,Google Ads,google_paid,Search | Interior Painting,Michael Hall,mhall@example.org,7265348245,78228,Interior Painting,Request an Estimate,/estimate
MKT0000147,2025-12-30T23:46:00.000000,Website Analytics,direct_website,Direct,Theodore Mitchell,theodore.mitchell53@example.com,7265609158,78240,Interior Painting,Website Contact Form,/contact
MKT0000148,2026-04-21T21:25:00.000000,Website Analytics,organic_search,Organic Search,Theodore Mitchell,theodore.mitchell53@example.com,7265609158,78240,Interior Painting,Website Estimate Form,/services
MKT0000149,2025-03-31T10:16:00.000000,Website Analytics,organic_search,Organic Search,Crystal Collier,crystal.collier@example.net,2109234498,78216,Exterior Painting,Website Estimate Form,/services
